Date,Time,Visitors,Queue_Length,Weather,Event,Holiday,Customers,Items_Bought,DayOfWeek,Waiting_Time
2023-10-11,12:00,48,11,Sunny,None,False,42,398,2,6.633333333333334
2023-10-11,12:30,45,11,Rainy,Sale,False,36,363,2,6.05
2023-10-11,13:00,36,9,Rainy,Concert,False,30,313,2,5.216666666666667
2023-10-11,13:30,47,6,Rainy,Sale,False,41,408,2,6.8
2023-10-11,14:00,61,14,Sunny,Sale,False,46,464,2,7.733333333333333
2023-10-11,14:30,44,10,Rainy,None,False,39,329,2,5.483333333333333
2023-10-11,15:00,43,7,Cloudy,Sale,False,36,339,2,5.65
2023-10-11,15:30,47,9,Rainy,Sale,False,32,282,2,4.7
2023-10-11,16:00,47,8,Sunny,None,False,35,371,2,6.183333333333334
2023-10-11,16:30,59,14,Sunny,None,False,46,478,2,7.966666666666667
2023-10-11,17:00,51,5,Cloudy,Sale,False,35,335,2,5.583333333333333
2023-10-11,17:30,52,11,Sunny,Concert,False,45,505,2,8.416666666666666
2023-10-11,18:00,50,5,Sunny,None,False,41,365,2,6.083333333333333
2023-10-11,18:30,56,9,Cloudy,None,False,41,363,2,6.05
2023-10-11,19:00,46,4,Rainy,Concert,False,36,315,2,5.25
2023-10-11,19:30,52,5,Rainy,Sale,False,44,458,2,7.633333333333334
2023-10-11,20:00,50,12,Rainy,Concert,False,35,369,2,6.15
2023-10-11,20:30,69,14,Rainy,Sale,False,52,606,2,10.1
2023-10-12,9:00,55,12,Cloudy,None,False,44,471,3,7.85
2023-10-12,9:30,25,8,Cloudy,Sale,False,22,208,3,3.466666666666667
2023-10-12,10:00,36,2,Sunny,Concert,False,24,218,3,3.6333333333333333
2023-10-12,10:30,47,10,Rainy,Sale,False,41,407,3,6.783333333333333
2023-10-12,11:00,41,4,Cloudy,None,False,32,309,3,5.15
2023-10-12,11:30,66,13,Sunny,Sale,False,47,477,3,7.95
2023-10-12,12:00,68,17,Cloudy,None,False,55,575,3,9.583333333333334
2023-10-12,12:30,41,5,Rainy,Concert,False,29,311,3,5.183333333333334
2023-10-12,13:00,45,12,Rainy,None,False,40,409,3,6.816666666666666
2023-10-12,13:30,54,6,Rainy,Sale,False,39,399,3,6.65
2023-10-12,14:00,42,7,Cloudy,None,False,28,305,3,5.083333333333333
2023-10-12,14:30,33,8,Cloudy,Concert,False,29,283,3,4.716666666666667
2023-10-12,15:00,51,7,Cloudy,Sale,False,37,364,3,6.066666666666666
2023-10-12,15:30,67,14,Rainy,Concert,False,56,564,3,9.4
2023-10-12,16:00,42,11,Sunny,Concert,False,31,382,3,6.366666666666666
2023-10-12,16:30,43,4,Sunny,Concert,False,38,342,3,5.7
2023-10-12,17:00,54,9,Cloudy,Sale,False,44,393,3,6.55
2023-10-12,17:30,46,11,Sunny,Sale,False,36,391,3,6.516666666666667
2023-10-12,18:00,62,7,Rainy,None,False,47,477,3,7.95
2023-10-12,18:30,40,6,Rainy,Sale,False,27,272,3,4.533333333333333
2023-10-12,19:00,52,11,Sunny,Sale,False,36,359,3,5.983333333333333
2023-10-12,19:30,52,5,Rainy,Sale,False,38,405,3,6.75
2023-10-12,20:00,42,4,Sunny,None,False,37,363,3,6.05
2023-10-12,20:30,48,13,Cloudy,Concert,False,37,353,3,5.883333333333334
2023-10-13,9:00,46,12,Sunny,None,False,38,403,4,6.716666666666667
2023-10-13,9:30,54,11,Cloudy,Concert,False,45,407,4,6.783333333333333
2023-10-13,10:00,62,11,Cloudy,None,False,45,516,4,8.6
2023-10-13,10:30,57,15,Rainy,None,False,43,485,4,8.083333333333334
2023-10-13,11:00,40,8,Rainy,None,False,30,291,4,4.85
2023-10-13,11:30,52,12,Rainy,Concert,False,40,344,4,5.733333333333333
2023-10-13,12:00,51,7,Rainy,None,False,39,396,4,6.6
2023-10-13,12:30,40,8,Cloudy,Sale,False,33,383,4,6.383333333333334
2023-10-13,13:00,41,7,Cloudy,Concert,False,36,322,4,5.366666666666666
2023-10-13,13:30,58,12,Cloudy,Concert,False,50,512,4,8.533333333333333
2023-10-13,14:00,59,13,Cloudy,None,False,43,444,4,7.4
2023-10-13,14:30,44,8,Cloudy,None,False,34,385,4,6.416666666666667
2023-10-13,15:00,69,13,Cloudy,Concert,False,55,562,4,9.366666666666667
2023-10-13,15:30,47,11,Sunny,Sale,False,37,389,4,6.483333333333333
2023-10-13,16:00,53,12,Cloudy,Concert,False,39,316,4,5.266666666666667
2023-10-13,16:30,32,6,Sunny,Concert,False,27,232,4,3.8666666666666667
2023-10-13,17:00,61,7,Sunny,None,False,50,466,4,7.766666666666667
2023-10-13,17:30,35,9,Sunny,None,False,24,240,4,4.0
2023-10-13,18:00,35,6,Rainy,Concert,False,27,259,4,4.316666666666666
2023-10-13,18:30,63,14,Rainy,None,False,45,512,4,8.533333333333333
2023-10-13,19:00,45,7,Sunny,Sale,False,39,445,4,7.416666666666667
2023-10-13,19:30,48,8,Cloudy,Sale,False,38,382,4,6.366666666666666
2023-10-13,20:00,48,8,Rainy,Concert,False,36,393,4,6.55
2023-10-13,20:30,44,8,Cloudy,None,False,34,352,4,5.866666666666666
2023-10-14,9:00,92,14,Sunny,Sale,False,68,597,5,9.95
2023-10-14,9:30,108,20,Sunny,None,False,88,896,5,14.933333333333334
2023-10-14,10:00,108,16,Cloudy,None,False,81,786,5,13.1
2023-10-14,10:30,119,22,Sunny,Concert,True,97,1046,5,17.433333333333334
2023-10-14,11:00,108,19,Sunny,None,False,89,851,5,14.183333333333334
2023-10-14,11:30,104,17,Cloudy,None,False,86,901,5,15.016666666666667
2023-10-14,12:00,83,17,Sunny,Concert,False,70,742,5,12.366666666666667
2023-10-14,12:30,101,19,Sunny,Concert,False,75,669,5,11.15
2023-10-14,13:00,109,25,Sunny,Concert,False,90,856,5,14.266666666666667
2023-10-14,13:30,122,25,Cloudy,Sale,False,95,990,5,16.5
2023-10-14,14:00,114,22,Cloudy,Concert,True,92,924,5,15.4
2023-10-14,14:30,102,23,Cloudy,Sale,False,81,699,5,11.65
2023-10-14,15:00,113,20,Cloudy,Concert,False,85,836,5,13.933333333333334
2023-10-14,15:30,91,22,Rainy,None,False,74,765,5,12.75
2023-10-14,16:00,100,19,Rainy,None,False,77,709,5,11.816666666666666
2023-10-14,16:30,106,23,Cloudy,Concert,True,85,784,5,13.066666666666666
2023-10-14,17:00,89,21,Cloudy,None,True,74,753,5,12.55
2023-10-14,17:30,100,18,Cloudy,Concert,True,80,767,5,12.783333333333333
2023-10-14,18:00,93,22,Cloudy,Sale,False,71,745,5,12.416666666666666
2023-10-14,18:30,100,16,Sunny,None,False,80,833,5,13.883333333333333
2023-10-14,19:00,104,18,Cloudy,Sale,True,86,822,5,13.7
2023-10-14,19:30,98,22,Cloudy,Concert,True,82,817,5,13.616666666666667
2023-10-14,20:00,108,22,Cloudy,Concert,True,84,853,5,14.216666666666667
2023-10-14,20:30,71,12,Cloudy,None,False,55,570,5,9.5
2023-10-15,9:00,101,23,Sunny,None,False,75,779,6,12.983333333333333
2023-10-15,9:30,92,13,Rainy,None,False,68,649,6,10.816666666666666
2023-10-15,10:00,77,10,Sunny,Concert,False,58,607,6,10.116666666666667
2023-10-15,10:30,96,21,Rainy,Sale,False,78,820,6,13.666666666666666
2023-10-15,11:00,75,10,Cloudy,Concert,False,62,608,6,10.133333333333333
2023-10-15,11:30,93,20,Rainy,Concert,False,74,699,6,11.65
2023-10-15,12:00,86,12,Rainy,Sale,True,68,674,6,11.233333333333333
2023-10-15,12:30,106,17,Sunny,Concert,False,79,747,6,12.45
2023-10-15,13:00,107,22,Cloudy,Concert,False,84,812,6,13.533333333333333
2023-10-15,13:30,101,20,Cloudy,None,False,77,744,6,12.4
2023-10-15,14:00,85,12,Cloudy,None,False,68,631,6,10.516666666666667
2023-10-15,14:30,100,16,Cloudy,Sale,False,75,770,6,12.833333333333334
2023-10-15,15:00,84,19,Rainy,None,True,65,689,6,11.483333333333333
2023-10-15,15:30,97,20,Cloudy,Concert,False,73,654,6,10.9
2023-10-15,16:00,93,15,Sunny,None,False,69,656,6,10.933333333333334
2023-10-15,16:30,97,19,Rainy,None,False,79,894,6,14.9
2023-10-15,17:00,89,20,Rainy,Sale,False,75,706,6,11.766666666666667
2023-10-15,17:30,102,19,Cloudy,Concert,False,82,881,6,14.683333333333334
2023-10-15,18:00,118,18,Sunny,Concert,False,91,1041,6,17.35
2023-10-15,18:30,89,19,Rainy,None,True,72,639,6,10.65
2023-10-15,19:00,109,21,Rainy,Sale,True,91,898,6,14.966666666666667
2023-10-15,19:30,107,20,Rainy,Sale,False,86,1015,6,16.916666666666668
2023-10-15,20:00,98,17,Sunny,Concert,False,73,724,6,12.066666666666666
2023-10-15,20:30,103,24,Rainy,Sale,False,78,703,6,11.716666666666667
